Country,Year
Armenia,1979
Australia,1975
Austria,2015
Azerbaijan,1984
Bahamas,1987
Belarus,1970
Belgium,2018
Bosnia and Herzegovina,2003
Bulgaria,2018
Canada,2013
Channel Islands,2015
Croatia,2012
Cyprus,2011
Czech Republic,2015
North Korea,1965
Egypt,2018
Finland,2020
France,2015
French Polynesia,2015
Georgia,1972
Germany,2017
Greece,2016
Guadeloupe,2018
"Hong Kong, China",2013
Hungary,2016
Ireland,1998
Italy,2020
Japan,1975
Kazakhstan,1983
Kyrgyz Republic,2012
Latvia,2019
Lithuania,1997
Luxembourg,2018
Macao Special Administrative Region of China,2019
Malaysia,2015
Martinique,2015
Mongolia,2013
Montenegro,2015
Netherlands,2017
New Caledonia,2009
New Zealand,1997
Philippines,2016
Poland,2015
Puerto Rico,2005
South Korea,1985
Moldova,2018
Romania,2020
Russia,1980
Serbia,2015
Singapore,1992
Slovak Republic,2013
Slovenia,1997
Sweden,2009
Switzerland,2003
Taiwan,1992
Tajikistan,1990
North Macedonia,2017
Turkmenistan,1979
Ukraine,2003
United Kingdom,2014
United States,1979
Uzbekistan,2015
