Country,Year
Albania,1960
Algeria,1993
Antigua and Barbuda,2015
Argentina,1975
Armenia,1960
Aruba,1975
Australia,1960
Austria,1960
Azerbaijan,1960
Bahamas,1962
Bahrain,2012
Barbados,2015
Belarus,1960
Belgium,1960
Belize,2005
Bolivia,1996
Bosnia and Herzegovina,1967
Botswana,1992
Brazil,1996
Brunei,2015
Bulgaria,1960
Cameroon,2014
Canada,1960
Channel Islands,2015
Chile,1972
China,1976
Colombia,1995
Comoros,2016
"Congo, Rep.",1989
Costa Rica,1977
Croatia,1960
Cuba,1963
Curaçao,1960
Cyprus,1960
Czech Republic,1960
North Korea,1960
Denmark,1960
Dominican Republic,2005
Ecuador,1991
Egypt,2007
El Salvador,2011
Equatorial Guinea,2003
Estonia,1960
Fiji,1969
Finland,1960
France,1960
French Guiana,1993
French Polynesia,1967
Gabon,1999
Georgia,1960
Germany,1960
Ghana,2019
Greece,1960
Grenada,2015
Guadeloupe,1972
Guam,2015
Guyana,1963
"Hong Kong, China",1974
Hungary,1960
Iceland,1960
India,2013
Indonesia,1985
Iran,1993
Iraq,2020
Ireland,1960
Israel,1967
Italy,1960
Jamaica,1968
Japan,1960
Jordan,1995
Kazakhstan,1960
Kenya,2013
Kiribati,1997
Kuwait,2011
Kyrgyz Republic,1960
Lao,2018
Latvia,1960
Lebanon,1976
Lesotho,2020
Libya,2015
Lithuania,1960
Luxembourg,1960
Macao Special Administrative Region of China,1975
Malaysia,1980
Maldives,2000
Malta,1960
Martinique,1970
Mauritius,2002
Mayotte,2015
Mexico,1988
"Micronesia, Fed. Sts.",1970
Mongolia,1960
Montenegro,1960
Morocco,2020
Namibia,2009
Nepal,2015
Netherlands,1960
New Caledonia,1974
New Zealand,1960
Norway,1960
Occupied Palestinian Territory,1979
Oman,2004
Panama,1977
Papua New Guinea,2016
Paraguay,1999
Peru,1990
Philippines,1978
Poland,1960
Portugal,1990
Puerto Rico,1964
Qatar,2016
South Korea,1963
Moldova,1960
Reunion,1978
Romania,1960
Russia,1960
St. Lucia,1967
St. Vincent and the Grenadines,1960
Samoa,1960
Saudi Arabia,1992
Serbia,1960
Seychelles,2015
Singapore,1975
Slovak Republic,1960
Slovenia,1960
Solomon Islands,2016
South Africa,1990
Spain,1967
Sri Lanka,1989
Suriname,1968
Eswatini,2011
Sweden,1960
Switzerland,1960
Taiwan,1964
Tajikistan,1960
Thailand,1960
North Macedonia,1975
Timor-Leste,2018
Tonga,1960
Trinidad and Tobago,1969
Tunisia,1993
Turkey,1975
Turkmenistan,1960
Ukraine,1960
United Arab Emirates,2003
United Kingdom,1960
Tanzania,2014
United States,1960
Virgin Islands (U.S.),2015
Uruguay,1969
Uzbekistan,2015
Vanuatu,2018
Venezuela,1977
Vietnam,1984
World,2003
Zimbabwe,1986
