Country,Year
Afghanistan,
Albania,1960
Algeria,2007
Angola,
Antigua and Barbuda,2015
Argentina,1993
Armenia,1960
Aruba,1990
Australia,1960
Austria,1960
Azerbaijan,1960
Bahamas,1973
Bahrain,2014
Bangladesh,
Barbados,2015
Belarus,1960
Belgium,1960
Belize,
Benin,
Bhutan,
Bolivia,2004
Bosnia and Herzegovina,1973
Botswana,2002
Brazil,2007
Brunei,2015
Bulgaria,1960
Burkina Faso,
Burundi,
Cambodia,
Cameroon,
Canada,1960
Cape Verde,
Central African Republic,
Chad,
Channel Islands,2015
Chile,1987
China,1984
Colombia,2010
Comoros,
"Congo, Rep.",2019
Costa Rica,2006
Cote d'Ivoire,
Croatia,1960
Cuba,1972
Curaçao,1966
Cyprus,1965
Czech Republic,1960
North Korea,1960
"Congo, Dem. Rep.",
Denmark,1960
Djibouti,
Dominican Republic,2019
Ecuador,2014
Egypt,2017
El Salvador,
Equatorial Guinea,2016
Eritrea,
Estonia,1960
Ethiopia,
Fiji,1977
Finland,1960
France,1960
French Guiana,2020
French Polynesia,1980
Gabon,2017
Gambia,
Georgia,1960
Germany,1960
Ghana,
Greece,1965
Grenada,2015
Guadeloupe,1983
Guam,2015
Guatemala,
Guinea,
Guinea-Bissau,
Guyana,1977
Haiti,
Honduras,
"Hong Kong, China",1981
Hungary,1960
Iceland,1960
India,
Indonesia,1994
Iran,2002
Iraq,
Ireland,1960
Israel,1978
Italy,1961
Jamaica,1977
Japan,1960
Jordan,2018
Kazakhstan,1960
Kenya,
Kiribati,2011
Kuwait,2014
Kyrgyz Republic,1962
Lao,
Latvia,1960
Lebanon,1985
Lesotho,
Liberia,
Libya,2020
Lithuania,1960
Luxembourg,1960
Macao Special Administrative Region of China,1984
Madagascar,
Malawi,
Malaysia,1994
Maldives,2005
Mali,
Malta,1960
Martinique,1980
Mauritania,
Mauritius,2010
Mayotte,2015
Mexico,2004
"Micronesia, Fed. Sts.",1979
Mongolia,1964
Montenegro,1960
Morocco,
Mozambique,
Myanmar,
Namibia,
Nepal,
Netherlands,1960
New Caledonia,1986
New Zealand,1960
Nicaragua,
Niger,
Nigeria,
Norway,1960
Occupied Palestinian Territory,1990
Oman,2010
Pakistan,
Panama,2000
Papua New Guinea,
Paraguay,2016
Peru,2003
Philippines,2004
Poland,1960
Portugal,1997
Puerto Rico,1975
Qatar,
South Korea,1968
Moldova,1961
Reunion,1991
Romania,1960
Russia,1960
Rwanda,
St. Lucia,1976
St. Vincent and the Grenadines,1968
Samoa,1960
Sao Tome and Principe,
Saudi Arabia,2000
Senegal,
Serbia,1961
Seychelles,2015
Sierra Leone,
Singapore,1985
Slovak Republic,1960
Slovenia,1960
Solomon Islands,
Somalia,
South Africa,2001
South Sudan,
Spain,1974
Sri Lanka,2000
Sudan,
Suriname,1979
Eswatini,2019
Sweden,1960
Switzerland,1960
Syria,
Taiwan,1969
Tajikistan,1960
Thailand,1964
North Macedonia,1984
Timor-Leste,
Togo,
Tonga,1960
Trinidad and Tobago,1983
Tunisia,2001
Turkey,1983
Turkmenistan,1960
Uganda,
Ukraine,1960
United Arab Emirates,2008
United Kingdom,1960
Tanzania,
United States,1960
Virgin Islands (U.S.),2015
Uruguay,1978
Uzbekistan,2015
Vanuatu,
Venezuela,1999
Vietnam,2011
Western Sahara,
World,
Yemen,
Zambia,
Zimbabwe,2016
